node,window,dio_tx_count,dio_rx_count,dao_tx_count,dao_rx_count,dis_tx_count,global_repair_count,local_repair_count,parent_switch_count,queue_flush_count,not_assoc_count,distinct_dio_versions_seen,poison_dio_recv_count,rank_last,dioint_last,nbrcount_last,rank_std,infinite_rank_count,tx_count,energy_used_sum,energy_rate_mj_per_s_mean,delivered_count,avg_latency_ms,is_attacker_node_GROUNDTRUTH,scenario,run_id
1,156,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,157,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,158,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,159,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,160,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,161,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,162,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,163,0,2,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,164,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,165,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,166,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,167,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,168,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,169,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,170,0,0,1,1,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,171,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,172,0,0,3,3,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,173,0,0,6,6,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,174,0,0,1,1,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,175,0,0,3,3,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,176,0,0,1,1,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,177,0,0,2,2,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,178,0,0,3,3,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,179,0,0,1,1,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,180,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,181,0,0,1,1,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,2,0,0,0,0,1,0,0,0,0,1,0,0,,,,,0,0,,,0,,0,attack,s02
2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,7,0,0,0,0,1,0,0,0,0,1,0,0,,,,,0,0,,,0,,0,attack,s02
2,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,9,0,2,0,0,1,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,10,3,6,1,1,0,0,0,1,0,0,1,0,832.0,0.0,3.0,,0,0,,,0,,0,attack,s02
2,11,2,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,12,0,3,0,0,0,0,0,0,0,0,1,0,805.0,13.0,5.0,,0,0,,,0,,0,attack,s02
2,13,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,14,0,3,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0.0,,1,122.0,0,attack,s02
2,16,1,2,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,18,0,1,0,0,0,0,0,0,0,0,1,0,711.0,16.0,5.0,,0,0,,,0,,0,attack,s02
2,19,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,20,1,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,21,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,1,99.0,1.6499725004583257,1,116.0,0,attack,s02
2,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,24,0,0,0,0,0,0,0,0,0,0,0,0,663.0,17.0,5.0,,0,0,,,0,,0,attack,s02
2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,98.0,1.6333061115648073,1,114.0,0,attack,s02
2,28,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,29,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,30,0,0,0,0,0,0,0,0,0,0,0,0,654.0,17.0,5.0,,0,0,,,0,,0,attack,s02
2,31,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,32,0,2,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,33,1,1,0,0,0,0,0,0,0,0,1,0,,,,,0,1,99.0,1.6499725004583257,1,111.0,0,attack,s02
2,34,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,35,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,36,0,0,0,0,0,0,0,0,0,0,0,0,600.0,17.0,5.0,,0,0,,,0,,0,attack,s02
2,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,99.0,1.6499725004583257,1,90.0,0,attack,s02
2,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,42,0,0,0,0,0,0,0,0,0,0,0,0,593.0,18.0,5.0,,0,0,,,0,,0,attack,s02
2,43,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,45,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,99.0,1.6499725004583257,1,105.0,0,attack,s02
2,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,48,0,1,0,0,0,0,0,0,0,0,1,0,587.0,18.0,5.0,,0,0,,,0,,0,attack,s02
2,49,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,50,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,99.0,1.6499725004583257,1,110.0,0,attack,s02
2,52,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,53,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,54,0,0,0,0,0,0,0,0,0,0,0,0,581.0,18.0,5.0,,0,0,,,0,,0,attack,s02
2,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,56,1,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,57,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,1,99.0,1.6499725004583257,1,127.0,0,attack,s02
2,58,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,59,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,60,1,0,0,0,0,0,0,0,0,0,0,0,554.0,18.0,5.0,,0,0,,,0,,0,attack,s02
2,61,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,98.0,1.6333061115648073,1,118.0,0,attack,s02
2,64,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
2,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,66,1,0,0,0,0,0,0,0,0,0,0,0,549.0,19.0,5.0,,0,0,,,0,,0,attack,s02
2,67,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,69,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,1,99.0,1.6499725004583257,1,104.0,0,attack,s02
2,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
2,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
